City,Day,Temperature,Max_Temperature,Min_Temperature,Humidity,Rainfall,Wind_Speed,AQI
Mumbai,1,31.5,33.51,31.2,67.05,0,13.63,128
Mumbai,2,21.08,24.76,20.06,54.9,0,19.07,218
Mumbai,3,40.36,41.16,37.48,36.41,0,22.61,268
Mumbai,4,25.61,26.52,25.58,65.96,9.24,15.33,276
Mumbai,5,24.49,27.33,20.58,54.97,0,32.45,162
Mumbai,6,20.6,23.44,17.18,50.01,0,20.64,229
Mumbai,7,28.05,28.53,25.35,55.82,81.29,18.3,235
Mumbai,8,36.78,38.7,35.64,71.16,102.35,29.88,181
Mumbai,9,39.8,41.98,36.61,88.65,36.22,32.49,114
Mumbai,10,40.81,41.63,37.4,36.89,0,18.17,89
Mumbai,11,26.34,26.96,23.76,49.77,0,25.63,260
Mumbai,12,39.2,41.07,38.89,42.79,0,9.45,225
Mumbai,13,27.71,29.17,25.27,53.38,0,26.1,268
Mumbai,14,31.67,34.7,28.82,65.97,127.44,33.49,261
Mumbai,15,23.13,26.6,21.24,35.73,0,30.71,271
Mumbai,16,24.49,24.94,20.71,69.74,0,13.33,230
Mumbai,17,31.97,32.84,31.62,43.14,0,23.86,138
Mumbai,18,26.65,28.54,25.95,85.82,0,6.76,241
Mumbai,19,23.19,23.39,20.19,64.26,119.28,19.6,300
Mumbai,20,35.11,37.14,31.85,54.87,0,33.46,165
Mumbai,21,20.96,24.83,18.32,61.12,0,6.32,239
Mumbai,22,32.03,33.98,28.61,53.07,25.86,16.4,214
Mumbai,23,29.85,30.55,26.89,45.1,0,13.2,243
Mumbai,24,22.09,23.04,21.7,77.02,69.43,34.89,155
Mumbai,25,24.99,28.04,21.58,55.45,0,20.23,176
Mumbai,26,26.04,27.45,24.55,54.13,80.5,8.54,292
Mumbai,27,28.42,30.16,25.91,62.79,4.2,31.58,246
Mumbai,28,32.39,33.77,28.49,77.23,68.97,14.39,207
Mumbai,29,21.19,21.73,18.3,83.17,23.27,15.16,134
Mumbai,30,31.38,32.89,30.12,64.64,0,25.88,56
Delhi,1,23.96,24.52,22.57,48.86,0,12.26,57
Delhi,2,28.61,28.76,26.63,88.89,0,32.69,244
Delhi,3,24.94,25.93,21.22,41.51,0,31.92,97
Delhi,4,36.37,39.88,35.89,79.79,28.9,16.9,273
Delhi,5,21.01,23.56,19.43,71.9,1.41,33.24,137
Delhi,6,38.55,41.61,34.84,58.9,0,32.24,108
Delhi,7,31.04,33.21,30.51,41.1,132.14,17.68,64
Delhi,8,38.19,39.43,34.38,74.82,89.61,17.97,75
Delhi,9,41.91,44.4,39.05,86.16,0,8.83,292
Delhi,10,32.91,33.18,29.35,77.47,33.84,29.46,281
Delhi,11,35.49,37.23,31.95,42.37,0,8.26,268
Delhi,12,34.82,35.78,33.08,39.48,0,34.83,277
Delhi,13,32.83,34.33,31.81,87,0,8.82,244
Delhi,14,40.03,40.51,36.55,72.39,0,12.56,118
Delhi,15,29.52,29.96,27,65.01,0,30.48,240
